Quantity,Article Number,Designator,Value,Manufacturer,Manufacturer Order Number,Combined Parameters,Fitted,Part Type,PackageReference,SheetNumber,Supplier 1,Supplier 2,Supplier 3,Supplier Part Number 1,Supplier Part Number 2,Supplier Part Number 3
"2","513799","R212, R701","300mR","Vishay","WSL2512R3000FEA","TCR:75ppm/K;Tol.:-1%/+1%;Vdc:-;Idc:-;P:1W","Fitted","Resistor","2512","3, 8","Farnell","DigiKey","Mouser","1107412","WSLG-.30CT-ND","71-WSL2512R3000FEA"
"22","345982","R221, R404, R405, R434, R501, R502, R510, R511, R514, R515, R520, R523, R525, R527, R530, R532, R561, R750, R751, R752, R810, R812","4.7k","Vishay","CRCW06034K70FK","TCR:100ppm/K;Tol.:-1%/+1%;Vdc:75V;Idc:-;P:100mW","Fitted","Resistor","0603","3, 5, 6, 8, 9","Farnell","DigiKey","Mouser","","",""
"13","345782","R302, R303, R402, R403, R435, R550, R551, R552, R553, R801, R803, R805, R807","2.2k","Vishay","CRCW06032K20FK","TCR:100ppm/K;Tol.:-1%/+1%;Vdc:75V;Idc:-;P:100mW","Fitted","Resistor","0603","4, 5, 6, 9","Farnell","DigiKey","Mouser","","",""
"1","466242","R526","10k","MuRata","NCP18XH103F03RB","TCR:-;Tol.:-1%/+1%;Vdc:-;Idc:-;P:100mW","Fitted","Resistor","0603","6","Farnell","DigiKey","Mouser","2456122RL","490-4800-2-ND","81-NCP18XH103F03RB"
"4","380147","S110, S560, S810, S812","1301.9314","Schurter","1301.9314","","Fitted","Electro Mechanic","","2, 6, 9","Farnell","DigiKey","Mouser","1217763","1301.9314-ND","693-1301.9314"
"5","650099","S200, S750, S751, S752, S814","CL-SB-12A-01T","NIDEC COPAL ELECTRONICS, Inc.","CL-SB-12A-01T","","Fitted","Electro Mechanic","","3, 8, 9","Farnell","DigiKey","Mouser","2854744","563-1314-1-ND","229-CL-SB-12A-01T"
"6","382410","TP100, TP101, TP102, TP103, TP104, TP105","5011","Keystone Electronics Corp.","5011","Board-to-Cable None (onboard);1x1;Mounting:THT;Orient:0° (vertical);Shielded:No","Fitted","Connector","","2","Farnell","DigiKey","Mouser","2431148","36-5011-ND","534-5011"
"18","387486","TP160, TP211, TP320, TP400, TP401, TP430, TP431, TP432, TP525, TP532, TP540, TP541, TP542, TP543, TP600, TP610, TP611, TP630","S1751-46R","Harwin","S1751-46R","Board-to-Cable None (onboard);1x1;Mounting:SMT;Orient:None (onboard);Shielded:No","Fitted","Connector","","2, 3, 4, 5, 6, 7","Farnell","DigiKey","Mouser","2411184","952-1478-2-ND","855-S1751-46R"
"2","614957","U400, U430","IRS2184SPBF","Infineon Technologies","IRS2184SPBF","- - 625mW;Vo:- to -","Fitted","Power Supply","PG-DSO-8-910","5","Farnell","DigiKey","Mouser","1271819","IRS2184SPBF-ND","942-IRS2184SPBF"
"2","644198","U410, U440","ICM7555IBAZ","Renesas","ICM7555IBAZ","Standard Interface Clock Buffer;Vdc min/max:2V/18V;Iout:100mA;Fmax:1MHz","Fitted","Integrated Circuit","SOIC-8","5","Farnell","DigiKey","Mouser","9663754","ICM7555IBAZ-TCT-ND","968-ICM7555IBAZ"
"2","409035","U500, U520","LM339PWR","Texas Instruments","LM339PWR","Res.:-;Fmax:-","Fitted","Analog Parts","TSSOP-14 (PW)","6","Farnell","DigiKey","Mouser","2436009","296-6607-2-ND","595-LM339PWR"
"1","648281","U501","MCP6567-E/MS","Microchip Technology","MCP6567-E/MS","Res.:-;Fmax:4MHz","Fitted","Analog Parts","MSOP-8 (MS)","6","Farnell","DigiKey","Mouser","1834862","MCP6567-E/MS-ND","579-MCP6567-E/MS"
